College_Name,District,Other district,,,,,,
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Shri Gulabrao Deokar College of Engineering, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Nashik,Nashik,,,,,,
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik,Nashik,,,,,,
"K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik,Nashik,,,,,,
"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Babulgaon,Nashik,,,,,,
"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik,Nashik,,,,,,
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik,Nashik,,,,,,
"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar.,Ahmednagar,,,,,,
"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Nashik.,Nashik,,,,,,
"G H Raisoni College of Engineering and Management, Jalgaon",Jalgaon,Jalgaon,,,,,,
"G H Raisoni Institute of Engineering and Business Management, Jalgaon",Jalgaon,Jalgaon,,,,,,
"G. H. Raisoni Institute of Business Management,Jalgaon","Management,Jalgaon",Jalgaon,,,,,,
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Kopargaon,Ahmednagar,,,,,,
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Ahmednagar,,,,,,
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Sangamner,Ahmednagar,,,,,,
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar,Nandurbar,,,,,,
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Faizpur,Jalgaon,,,,,,
"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Dhule,Dhule,,,,,,
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Bhusawal,Jalgaon,,,,,,
"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Jalgaon,Jalgaon,,,,,,
"R. C. Patel Institute of Technology, Shirpur",Shirpur,Dhule,,,,,,
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)","Neminagar,Chandwad,(Nashik)",Nashik,,,,,,
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik,Nashik,,,,,,
"Vishwabharati Academy's College of Engineering, Ahmednagar",Ahmednagar,Ahmednagar,,,,,,
"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Nashik,Nashik,,,,,,
"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik,Nashik,,,,,,
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Sinnar,Nashik,,,,,,
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Nashik,Nashik,,,,,,
"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik","Polytechnic,Nashik",Nashik,,,,,,
"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Nashik,Nashik,,,,,,
"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,","Shrigondha,",Ahmednagar,,,,,,
"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Akkalkuwa,Nandurbar,,,,,,
"PUNE VIDYARTHI GRIHAƒ??S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",NASHIK,Nashik,,,,,,
"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Nashik,Nashik,,,,,,
"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule",Dhule,Dhule,,,,,,
"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",Shevgaon,Ahmednagar,,,,,,
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Ahmednagar,Ahmednagar,,,,,,
"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Dondaicha.,Dhule,,,,,,
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Nepti,Ahmednagar,,,,,,
"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Nashik.,Nashik,,,,,,
"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Sanghavi College of Engineering, Varvandi, Nashik.",Nashik.,Nashik,,,,,,
"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik.,Nashik,,,,,,
"Vidya Niketan College of Engineering, Bota Sangamner",Sangamner,Ahmednagar,,,,,,
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Dist.Ahmednagar,Ahmednagar,,,,,,
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Malegaon.,Nashik,,,,,,
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik.,Nashik,,,,,,
"R.C. Patel College of Engineering and Polytechnic, Shirpur",Shirpur,Dhule,,,,,,
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Dhule,Dhule,,,,,,
"P.G. College of Engineering & Technology, Nandurbar",Nandurbar,Nandurbar,,,,,,
"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Malwadi-Bota,Ahmednagar,,,,,,
"MKD Institute of Technology, Nadurbar",Nadurbar,Nandurbar,,,,,,
"Government College of Engineering & Research, Avasari Khurd",Khurd,Pune,,,,,,
"Government College of Engineering, Karad",Karad,Satara,,,,,,
COEP Technological University,University,Pune,,,,,,
"College of Engineering, Pune",Pune,Pune,,,,,,
"Walchand College of Engineering, Sangli",Sangli,Sangli,,,,,,
"Department of Technology, Shivaji University, Kolhapur",Kolhapur,Kolhapur,,,,,,
"Government College of Engineering, Kolhapur",Kolhapur,Kolhapur,,,,,,
"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Pune,Pune,,,,,,
"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Pune,Pune,,,,,,
"Progressive Education Society's Modern College of Engineering, Pune",Pune,Pune,,,,,,
"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Pune,Pune,,,,,,
"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Pune,Pune,,,,,,
"JSPM'S Jaywantrao Sawant College of Engineering,Pune","Engineering,Pune",Pune,,,,,,
"MIT Academy of Engineering,Alandi, Pune",Pune,Pune,,,,,,
"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",Maval,Pune,,,,,,
"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",Dist-Pune,Pune,,,,,,
"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Pune,Pune,,,,,,
"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Pune,Pune,,,,,,
"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Pune,Pune,,,,,,
"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Pune,Pune,,,,,,
"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Pune,Pune,,,,,,
"Sinhgad College of Engineering, Vadgaon (BK), Pune",Pune,Pune,,,,,,
"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune","Engineering,Vadgaon,Pune",Pune,,,,,,
"Indira College of Engineering & Management, Pune",Pune,Pune,,,,,,
"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",(Ambegaon),Pune,,,,,,
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Bhima,Pune,,,,,,
"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Haveli,Pune,,,,,,
"Sinhagad Institute of Technology, Lonavala",Lonavala,Pune,,,,,,
Sinhgad Institute of Technology,Technology,Pune,,,,,,
"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",Pune,Pune,,,,,,
"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Pune,Pune,,,,,,
"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Pune,Pune,,,,,,
"Pune District Education Association's College of Engineering, Pune",Pune,Pune,,,,,,
"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Pune,Pune,,,,,,
"Dr. D. Y. Patil Vidya Pratishthan Societyƒ??s Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Pune,Pune,,,,,,
"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Sangli,Sangli,,,,,,
"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",Institutions,Kolhapur,,,,,,
"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Solapur,Solapur,,,,,,
"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Pandharpur,Solapur,,,,,,
"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Ichalkaranji.,Kolhapur,,,,,,
"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",Solapur,Solapur,,,,,,
"D.Y. Patil College of Engineering and Technology, Kolhapur",Kolhapur,Kolhapur,,,,,,
"Walchand Institute of Technology, Solapur",Solapur,Solapur,,,,,,
"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Kolhapur,,,,,,
"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Warananagar,Kolhapur,,,,,,
"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Sangli,Sangli,,,,,,
"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Satara,Satara,,,,,,
Pune Institute of Computer Technology,Technology,Pune,,,,,,
"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Pune,,,,,,
"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Pune,Pune,,,,,,
"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Pune,Pune,,,,,,
"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune",Pune,Pune,,,,,,
"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Malegaon-Baramati,Pune,,,,,,
"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune","Karvenagar,Pune",Pune,,,,,,
"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Jaysingpur,Kolhapur,,,,,,
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Pune,Pune,,,,,,
"Modern Education Society's College of Engineering, Pune",Pune,Pune,,,,,,
"Modern Education Society's Wadia College of Engineering, Pune",Pune,Pune,,,,,,
"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune","Technology,Pune",Pune,,,,,,
"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Sangli,Sangli,,,,,,
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Dist.Pune,Pune,,,,,,
"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Pune,Pune,,,,,,
"Bharati Vidyapeeth's College of Engineering, Kolhapur",Kolhapur,Kolhapur,,,,,,
"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Pune,Pune,,,,,,
"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Solapur,Solapur,,,,,,
"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Pune,Pune,,,,,,
"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Karad,Satara,,,,,,
"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli","Vita,Sangli",Sangli,,,,,,
"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Satara,Satara,,,,,,
"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Satara,Satara,,,,,,
"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Haveli,Pune,,,,,,
"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Solapur(North),Solapur,,,,,,
"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Pune,Pune,,,,,,
"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Wagholi,Pune,,,,,,
"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",Sangali,Sangli,,,,,,
"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",Panhala,Kolhapur,,,,,,
Sanjeevan Group of Institutions,Institutions,Kolhapur,,,,,,
"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Yadrav(Ichalkaranji),Kolhapur,,,,,,
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Wadwadi,Satara,,,,,,
"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Indapur,Pune,,,,,,
"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Pisoli,Pune,,,,,,
"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Solapur,Solapur,,,,,,
"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Dumbarwadi,Pune,,,,,,
"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",Bhor,Pune,,,,,,
"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Bhor,Pune,,,,,,
"Alard Charitable Trust's Alard College of Engineering and Management, Pune",Pune,Pune,,,,,,
Karmayogi Institute of Technology,Technology,Solapur,,,,,,
"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Pandharpur,Solapur,,,,,,
"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR","TECHNOLOGY,KOLHAPUR",Kolhapur,,,,,,
"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Pune,Pune,,,,,,
"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Paniv,Solapur,,,,,,
"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Karad,Satara,,,,,,
"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur","Technology,Kolhapur",Kolhapur,,,,,,
"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.","Varye,Satara.",Satara,,,,,,
"Jaihind College Of Engineering,Kuran","Engineering,Kuran",Pune,,,,,,
ISBM College Of Engineering Pune,Pune,Pune,,,,,,
"Universal College of Engineering & Research, Sasewadi",Sasewadi,Pune,,,,,,
"Dattakala Group Of Institutions, Swami",Swami,Pune,,,,,,
Navsahyadri Education Society's Group of Institutions,Institutions,Pune,,,,,,
"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Pune,Pune,,,,,,
Samarth College of Engineering and Management,Management,Pune,,,,,,
"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Pune,Pune,,,,,,
"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",solapur,Solapur,,,,,,
"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Solapur,Solapur,,,,,,
"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Miraj,Sangli,,,,,,
"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Pune,Pune,,,,,,
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",Kolhapur,Kolhapur,,,,,,
Ajeenkya DY Patil School of Engineering,Engineering,Pune,,,,,,
"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Pune,Pune,,,,,,
"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Pune,Pune,,,,,,
"International Institute of Information Technology (I?ýIT), Pune.",Pune.,Pune,,,,,,
"JSPM Narhe Technical Campus, Pune.",Pune.,Pune,,,,,,
"Fabtech Technical Campus College of Engineering and Research, Sangola",Sangola,Solapur,,,,,,
"Yashoda Technical Campus, Wadhe, Satara.",Satara.,Satara,,,,,,
"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Pune.,Pune,,,,,,
"Shree Ramchandra College of Engineering, Lonikand,Pune","Lonikand,Pune",Pune,,,,,,
"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Sangli.,Sangli,,,,,,
Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,Dist-Satara,Satara,,,,,,
"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.","Kamshet,Pune.",Pune,,,,,,
"P.K. Technical Campus, Pune.",Pune.,Pune,,,,,,
"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Pune.,Pune,,,,,,
"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.","Kusgaon(BK),Pune.",Pune,,,,,,
"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Pune,Pune,,,,,,
"NBN Sinhgad Technical Institutes Campus, Pune",Pune,Pune,,,,,,
"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.","Management,Talsande,Kolhapur.",Kolhapur,,,,,,
"Bhagwant Institute of Technology, Barshi",Barshi,Solapur,,,,,,
"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Akluj,Solapur,,,,,,
"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Pune,Pune,,,,,,
"Anantrao Pawar College of Engineering & Research, Pune",Pune,Pune,,,,,,
"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Nagar,Pune,,,,,,
"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Pune,Pune,,,,,,
"Dnyanshree Institute Engineering and Technology, Satara",Satara,Satara,,,,,,
"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",Miraj,Sangli,,,,,,
"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Pune,Pune,,,,,,
"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Gadhinglaj,Kolhapur,,,,,,
"Keystone School of Engineering, Pune",Pune,Pune,,,,,,
Sanjay Ghodawat Institute,Institute,Kolhapur,,,,,,
"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Lonavala,Pune,,,,,,
"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Ravet,Pune,,,,,,
"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon","Innovation,Talegaon",Pune,,,,,,
"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Kolhapur,Kolhapur,,,,,,
"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Kolhapur,Kolhapur,,,,,,
"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Barshi,Solapur,,,,,,
Shree Siddheshwar Women's College Of Engineering Solapur.,Solapur.,Solapur,,,,,,
"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Pune,Pune,,,,,,
"Laxminarayan Innovation Technological University, Nagpur",Nagpur,Nagpur,,,,,,
"Shri. Anandrao Abitkar College of Engineering, Pal",Pal,Kolhapur,,,,,,
"Tatyasaheb Kore Institute of Engineering and Technology, Yelur",Yelur,Kolhapur,,,,,,
