College_Code,College_Name,Branch_Code,Branch_Name,min,max
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",110526710,Computer Science and Engineering (IoT),2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110719110,Civil Engineering,2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110724210,Computer Science and Engineering,2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110729310,Electrical Engineering,2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110737210,Electronics and Telecommunication Engg,2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110761210,Mechanical Engineering,2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",110799510,Artificial Intelligence and Data Science,2024,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",111426310,Artificial Intelligence (AI) and Data Science,2024,2024
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",111624610,Information Technology,2024,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",112526310,Artificial Intelligence (AI) and Data Science,2024,2024
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",112619110,Civil Engineering,2024,2024
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",112624210,Computer Science and Engineering,2024,2024
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",112629310,Electrical Engineering,2024,2024
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",112637210,Electronics and Telecommunication Engg,2024,2024
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",112661210,Mechanical Engineering,2024,2024
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",126899510,Artificial Intelligence and Data Science,2024,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200819110,Civil Engineering,2024,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200824210,Computer Science and Engineering,2024,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200824610,Information Technology,2024,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200829310,Electrical Engineering,2024,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200837210,Electronics and Telecommunication Engg,2024,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200861210,Mechanical Engineering,2024,2024
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",211192110,Artificial Intelligence and Machine Learning,2024,2024
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",211199510,Artificial Intelligence and Data Science,2024,2024
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",211362410,Mechatronics Engineering,2024,2024
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",212791610,Automation and Robotics,2024,2024
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",212792110,Artificial Intelligence and Machine Learning,2024,2024
2129,"M.S. Bidve Engineering College, Latur",212929310,Electrical Engineering,2024,2024
2129,"M.S. Bidve Engineering College, Latur",212937210,Electronics and Telecommunication Engg,2024,2024
2129,"M.S. Bidve Engineering College, Latur",212946310,Architectural Assistantship,2024,2024
2129,"M.S. Bidve Engineering College, Latur",212991110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",214624210,Computer Science and Engineering,2024,2024
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",214637210,Electronics and Telecommunication Engg,2024,2024
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",225424610,Information Technology,2024,2024
2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,250837210,Electronics and Telecommunication Engg,2024,2024
2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",252299510,Artificial Intelligence and Data Science,2024,2024
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",263719110,Civil Engineering,2024,2024
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",263724510,Computer Engineering,2024,2024
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",263724610,Information Technology,2024,2024
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",263737210,Electronics and Telecommunication Engg,2024,2024
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",263799710,Artificial Intelligence,2024,2024
2641,Dr. V.K. Patil College of Engineering & Technology,264119110,Civil Engineering,2024,2024
2641,Dr. V.K. Patil College of Engineering & Technology,264124210,Computer Science and Engineering,2024,2024
2641,Dr. V.K. Patil College of Engineering & Technology,264129310,Electrical Engineering,2024,2024
2641,Dr. V.K. Patil College of Engineering & Technology,264161210,Mechanical Engineering,2024,2024
2641,Dr. V.K. Patil College of Engineering & Technology,264199710,Artificial Intelligence,2024,2024
2666,Mangaldeep College of Engineering,266624210,Computer Science and Engineering,2024,2024
2666,Mangaldeep College of Engineering,266624610,Information Technology,2024,2024
2666,Mangaldeep College of Engineering,266656610,Computer Science,2024,2024
2666,Mangaldeep College of Engineering,266692110,Artificial Intelligence and Machine Learning,2024,2024
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,302524270U,Computer Science and Engineering,2024,2024
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,302524570U,Computer Engineering,2024,2024
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,302524670U,Information Technology,2024,2024
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,302591170U,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",303390510,Computer Science and Engineering,2024,2024
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",303390513K,Computer Science and Engineering,2024,2024
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",304229310,Electrical Engineering,2024,2024
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",304250410,Food Technology And Management,2024,2024
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",304262410,Mechatronics Engineering,2024,2024
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",304291810,Civil and infrastructure Engineering,2024,2024
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",304299510,Artificial Intelligence and Data Science,2024,2024
3143,"Thakur Shyamnarayan Engineering College, Mumbai",314324510,Computer Engineering,2024,2024
3143,"Thakur Shyamnarayan Engineering College, Mumbai",314324610,Information Technology,2024,2024
3143,"Thakur Shyamnarayan Engineering College, Mumbai",314361210,Mechanical Engineering,2024,2024
3143,"Thakur Shyamnarayan Engineering College, Mumbai",314384410,Electronics and Computer Engineering,2024,2024
3143,"Thakur Shyamnarayan Engineering College, Mumbai",314391110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",314893310,Electronics and Communication (Advanced Communication Technology),2024,2024
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",317591610,Automation and Robotics,2024,2024
3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",318361610,Mechanical Engineering Automobile,2024,2024
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",318424210,Computer Science and Engineering,2024,2024
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",318862410,Mechatronics Engineering,2024,2024
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",318890010,Electronics and Computer Science,2024,2024
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",318891110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",320091010,Computer Science and Engineering(Cyber Security),2024,2024
3204,"St. Francis Institute of Technology,Borivali, Mumbai",320490010,Electronics and Computer Science,2024,2024
3204,"St. Francis Institute of Technology,Borivali, Mumbai",320492110,Artificial Intelligence and Machine Learning,2024,2024
3206,"S.S.P.M.'s College of Engineering, Kankavli",320690010,Electronics and Computer Science,2024,2024
3212,"Watumull Institute of Engineering & Technology, Ulhasnagar",321219110,Civil Engineering,2024,2024
3212,"Watumull Institute of Engineering & Technology, Ulhasnagar",321224510,Computer Engineering,2024,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management,322019110,Civil Engineering,2024,2024
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",322119110,Civil Engineering,2024,2024
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",322124510,Computer Engineering,2024,2024
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",322137210,Electronics and Telecommunication Engg,2024,2024
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",322161210,Mechanical Engineering,2024,2024
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",322191110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",322192610,Electrical and Computer Engineering,2024,2024
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",325724510,Computer Engineering,2024,2024
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",325724610,Information Technology,2024,2024
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",325729310,Electrical Engineering,2024,2024
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",325737210,Electronics and Telecommunication Engg,2024,2024
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",325791610,Automation and Robotics,2024,2024
3277,Pravin Rohidas Patil College of Engineering & Technology,327724510,Computer Engineering,2024,2024
3277,Pravin Rohidas Patil College of Engineering & Technology,327724610,Information Technology,2024,2024
3277,Pravin Rohidas Patil College of Engineering & Technology,327735610,Electrical Engg[Electronics and Power],2024,2024
3277,Pravin Rohidas Patil College of Engineering & Technology,327761510,Mechanical & Automation Engineering,2024,2024
3277,Pravin Rohidas Patil College of Engineering & Technology,327793410,Civil Engineering and Planning,2024,2024
3277,Pravin Rohidas Patil College of Engineering & Technology,327793510,Electronics and Biomedical Engineering,2024,2024
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",335156810,Computer Science and Information Technology,2024,2024
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",335191210,Computer Science and Engineering(Data Science),2024,2024
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",335324610,Information Technology,2024,2024
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",335392010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,2024,2024
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",343624610,Information Technology,2024,2024
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",343690010,Electronics and Computer Science,2024,2024
3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",343992610,Electrical and Computer Engineering,2024,2024
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",344592010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,2024,2024
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",344592110,Artificial Intelligence and Machine Learning,2024,2024
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",346224510,Computer Engineering,2024,2024
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",346284410,Electronics and Computer Engineering,2024,2024
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",350326310,Artificial Intelligence (AI) and Data Science,2024,2024
3546,Devi Mahalaxmi College of Engineering and Technology,354619110,Civil Engineering,2024,2024
3546,Devi Mahalaxmi College of Engineering and Technology,354624510,Computer Engineering,2024,2024
3546,Devi Mahalaxmi College of Engineering and Technology,354629310,Electrical Engineering,2024,2024
3546,Devi Mahalaxmi College of Engineering and Technology,354661210,Mechanical Engineering,2024,2024
3546,Devi Mahalaxmi College of Engineering and Technology,354691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",413324210,Computer Science and Engineering,2024,2024
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",413424610,Information Technology,2024,2024
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",413984410,Electronics and Computer Engineering,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414219110,Civil Engineering,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414224210,Computer Science and Engineering,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414224610,Information Technology,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414229310,Electrical Engineering,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414237210,Electronics and Telecommunication Engg,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414261210,Mechanical Engineering,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414291010,Computer Science and Engineering(Cyber Security),2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414291710,Data Science,2024,2024
4142,"G H Raisoni College of Engineering & Management, Nagpur",414299710,Artificial Intelligence,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415100210,Aeronautical Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415108210,Bio Technology,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415119110,Civil Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415124210,Computer Science and Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415124610,Information Technology,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415129310,Electrical Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415137010,Electronics and Communication Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415161210,Mechanical Engineering,2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415191210,Computer Science and Engineering(Data Science),2024,2024
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",415192110,Artificial Intelligence and Machine Learning,2024,2024
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",419391110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",419391210,Computer Science and Engineering(Data Science),2024,2024
4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",419691010,Computer Science and Engineering(Cyber Security),2024,2024
4613,"Suryodaya College of Engineering & Technology, Nagpur",461326510,Industrial IoT,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467919110,Civil Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467924210,Computer Science and Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467929310,Electrical Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467993610,Fire Engineering,2024,2024
4679,"Karanjekar College of Engineering & Management, Sakoli",467999710,Artificial Intelligence,2024,2024
5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",510384410,Electronics and Computer Engineering,2024,2024
5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",510829310,Electrical Engineering,2024,2024
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",510956610,Computer Science,2024,2024
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",510992110,Artificial Intelligence and Machine Learning,2024,2024
5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",513999510,Artificial Intelligence and Data Science,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515219110,Civil Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515224210,Computer Science and Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515224610,Information Technology,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515229310,Electrical Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515237210,Electronics and Telecommunication Engg,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515261210,Mechanical Engineering,2024,2024
5152,"G H Raisoni College of Engineering and Management, Jalgaon",515291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),2024,2024
